"Texto de comentario","Satisfaccion general","fecha y hora",""
"La atencion fue rapido y el playero muy amable, me limpio los parabrisas y se ofrecio revisar aceite y agua.","4","30/09/2023 17:55:00",""
"Había una playera y un playero corriendo para atender a todos los autos y dos surtidores no funcionaban. Ellos súper amables, respetuosos y hasta me limpiaron el vidrio, pero me parece que no es buen servicio ni una buena imagen para la marca.","4","30/09/2023 19:32:00",""
"El acceso a la estación es muy incómodo. Falta lugar de parking.","4","30/09/2023 17:22:00",""
"Respetuosa atención y rapidez en la atención ","5","30/09/2023 12:19:00",""
"Poco personal para toda la playa","4","30/09/2023 16:23:00",""
"El personal muy atento y paciente","5","27/09/2023 17:19:00",""
"estuve satisfecho , me atendieron bien y rapido","4","27/09/2023 18:42:00",""
"La atención recibida fue muy buena. ","5","27/09/2023 19:00:00",""
"Siempre excelente de hecho hace muchos años que voy a la misma estación de cramer viviendo en Urquiza ","5","27/09/2023 17:42:00",""
"Muchísimas esperas en la atención ","2","27/09/2023 15:12:00",""
"Limpio el lugar, rapidez y muy cordial la persona que me atendio.","5","27/09/2023 9:46:00",""
"Rápido y ágil. Atienden todos si ven q se necesita.","5","26/09/2023 21:41:00",""
"Excelente atención ","5","23/09/2023 7:43:00",""
"Una
Dos
Tres","5","26/09/2023 19:19:00",""
"Speed
Professionalism
Cordiality","5","26/09/2023 6:48:00",""
"Porque cuentan con surtidores reducidos en Vpower ","4","23/09/2023 12:43:00",""
"La estación esta muy apretada...poco espacio para maniobrar","4","22/09/2023 12:24:00",""
"Buena atención… responden a mis necesidades ","5","21/09/2023 12:40:00",""
"No cabe","4","21/09/2023 16:09:00",""
"El trato del personal es excelente y su disposicion para ayudar a los que no manejamos muy bien las redes para abonar","5","21/09/2023 15:38:00",""
"atendido rapido,cordialmente","5","20/09/2023 11:47:00",""
"MANDAN MAIL QUE HACEN DESCUENTO Y NUNCA DAN LOS PUNTOS O SEA NUNCA TUVE DESCUENTO","4","19/09/2023 13:58:00",""
"Trato agradable y cordial siempre","4","19/09/2023 13:10:00",""
"me hubiera gustado que me ofrezcan limpiarme los vidrios.","4","18/09/2023 7:12:00",""
"Simplemente consideré Satisfactorio toda la atención y servicios brindado.","4","16/09/2023 23:18:00",""
"Necesitaba cargar diesel V power y esta estacion de servicio tenia por suerte, ya que dos EESS a las que fui previo no tenian combustible. La de River y la de Libertador no tenian","4","15/09/2023 14:16:00",""
"estoy muy cerca  y son muy positivos","5","08/09/2023 14:15:00",""
"Excelente el trato. Como siempre, pero esta vez la verdad que la persona que me atendió fue excelente.","5","16/09/2023 15:28:00",""
"La calidad del combustible, ma muy buena atención y los servicios complementarios, en particular aire para los neumáticos sin costo adicional.","5","16/09/2023 14:13:00",""
"Hace MESES que no puedo cambiar la password de la aplicación, y las respuestas que me dieron son pésimas y completamente inútiles. Se ve que en Mkt los toman por grado de estupidez. ","1","16/09/2023 8:54:00",""
"aSienñre muy bien atendido","5","15/09/2023 22:48:00",""
"Nada a detallar siempre todo de diez el único problema es que dependiendo donde cargues pagas mas o menos eso no está bueno tendría que tener todas las franquicias con el mismo precio de la estaciones oficiales ","4","13/09/2023 17:32:00",""
". ","4","15/09/2023 19:35:00",""
"atencion del personal ","5","15/09/2023 13:28:00",""
"Porque fue rápido, eficiente, y cómodo. Muy buena atención!!!","5","15/09/2023 10:00:00",""
"La mejor atención lejos !! Felicitaciones Norma!","5","15/09/2023 9:10:00",""
"Agradezco el gesto que tuvo la Compañía Shell en otorgarme un vale de descuento por no haber podido usar la app un miércoles de de descuento W Power. Gracias. Sigan así","5","15/09/2023 7:32:00",""
"Todo muy bien. El personal (femenino) a  cargo del mostrador del snack resuelve todos los inconvenientes que se puedan producir en el uso del sistema (pase de puntos, nueva tarjeta de débitio, etc.) Parecen técnicas en informática.","5","13/09/2023 17:22:00",""
"Excelente atención y servicio, los felicito.","5","13/09/2023 16:58:00",""
"Ingreso muy complicado, autos cruizados, todo fue muy lento, no terminaban de irse los autos, muy pocos playeros, solo 2 en un momento de alta demanda en una esquina muy complicada","2","13/09/2023 18:01:00",""
"+Atencion muy amable
+Poco tiempo de espera
-El servicio de aire no funciona bien
","5","13/09/2023 14:57:00",""
"Necesitaba realizar el cambio de aceite y filtros periodico y con ""otras empresas"" resultaba imposible recibir info adecuada respecto a costos. En Shall pude ver rapidamente los combos disponibles, formas de pago y hasta recibí asistencia personalizada via whatsapp. El servicio excelente como así la atención","5","13/09/2023 13:43:00",""
"Siempre cargo en la misma estación de Cramer y Hernandez, y también toda mi familia. Son todos muy amables y el combustible para mi es el mejor. ","5","10/09/2023 12:18:00",""
"Por la cordialidad y atención del personal.  ","5","12/09/2023 8:21:00",""
"Porque cada miércoles que tengo descuento para. Cargar V power la app no funciona. Me ha pasado más de una vez. Por lo tanto es publicidad engañosa. Es una pena porque el combustible es de primera ","1","06/09/2023 17:03:00",""
"El negocio tiene los productos imprescindibles. 
Abierto las 24 h
Lugar tranquilo, seguro, limpio y confortable 
","5","10/09/2023 18:47:00",""
"por la atencion del playeroy calidad de sus productos","5","08/09/2023 21:23:00",""
"Nunca cargo otra marca que no sea Shell y casi siempre en la misma estación de servicio!
Una crítica: por que sólo hay descuento con VPower y no hay descuentos, más en estos momentos, con nafta Súper?","5","09/09/2023 10:54:00",""
"Siempre voy porque siempre me atendieron bien","5","09/09/2023 11:58:00",""
"Hola algunas veces se demora y otras no. No dicen nada a darte el ticket. Le cargamos los puntos sr. Solo gracias a Dios te dan el ticket ","3","08/09/2023 19:21:00",""
"Por la calidad de los productos ofrecidos, tanto en combustible y de la tienda","5","03/09/2023 13:18:00",""
"porque soy del barrio y conozco esa estacion","5","07/09/2023 18:55:00",""
"LA ATENCION EXCELENTE
LA RAPIDEZ Y EL SERVICIO","5","07/09/2023 11:03:00",""
"Nafta y atencion muy buena/complicacion con shell box cuya tarjeta funciono los prim 3 medes y despues nunca mas/ no tengo claro pr que la desactivaron","5","07/09/2023 16:27:00",""
"Siempre concurro a esta Estación por el servicio.","5","07/09/2023 10:26:00",""
"me atendieron a tiempo, muy amable la persona que me realizo el servicio del auto..impecac","5","06/09/2023 16:54:00",""
"Tuve suerte, había muy poca gente, me atendieron enseguida y muy bien. La App Shell Box funcionó perfecto","5","06/09/2023 20:07:00",""
"La persona que me atendió, ha sido muy atento en explicarme en el uso de la aplicación para abonar la carga de combustible.","5","06/09/2023 8:49:00",""
"Todo OK. ","4","06/09/2023 11:51:00",""
"Amabilidad de la persona que me atendió. Ofrecimiento de servvicios. Limpieza del lugar.","5","05/09/2023 13:02:00",""
"Muy buena atención de los playeros
","5","05/09/2023 19:38:00",""
"Amabilidad de la playera, consulte por servicio de cambio de aceite y filtro y me asesoro en todo, ya saque el turno del servicio por este motivo, y último pero no menor, la calidad de nafta siempre excelente","5","05/09/2023 13:37:00",""
"Soy ciente de shel por la calidad de los productos y servicios de la compañia","5","04/09/2023 21:08:00",""
"Estuve satisfecho, esta bien ","4","03/09/2023 9:31:00",""
"Soy cliente Hase 27 años","5","01/09/2023 11:34:00",""
"la atención brindada por parte del personal es muy buena. ","5","02/09/2023 18:17:00",""
"Todo ok","5","02/09/2023 21:48:00",""
"MUY BUENA ATENCIÓN DEL PISTERO
SE PREOCUPÓ PARA ENCONTRAR MI SALDO A DESCONTAR
 ","5","02/09/2023 17:02:00",""
"Odio que me obliguen a dejar un comentario. Me parece que no deberían y es bastante molesto. Ya lo dije muchas veces. Por fa","5","02/09/2023 17:32:00",""
"Gente cordial.
Buena atención. 
Rapidez. ","5","02/09/2023 13:23:00",""
"Por todo el servicio brindando.","5","02/09/2023 12:48:00",""
"Organización
Activo
Ordenado 
","5","01/09/2023 18:24:00",""
"vivo en la zona y hace años que voy ","5","31/08/2023 19:14:00",""
"Muy buena atención y amabilidad.","5","31/08/2023 19:59:00",""
"todo ok
me gustaría poder aprovechar el descuento en combustible de los miércoles pagando en efectivo, no solo pagando con la app con tarjeta
muchas gracias","4","30/08/2023 13:31:00",""
"Muy bien atendido.por.el.empleado servicial.10.puntos","5","31/08/2023 13:05:00",""
"Siempre hay mejoras que se pueden realizar
EL personal fua amable
ofrecer pagar con la aplicación
","4","30/08/2023 23:51:00",""
"La aplicación funciono muy bien.","5","30/08/2023 21:05:00",""
"El servicio fue muy bueno
Los productos tb
El lugar limpio","5","30/08/2023 12:54:00",""
"Intenté 2 veces pagar con la app y débito del Icbc, las 2 veces dio error.
Terminé pagando fuera de la app con la misma tarjeta que la app había rechazado.
Perdí los descuentos de la app y del banco, estoy muy enojado por esto.","1","30/08/2023 16:04:00",""
"* la calidad del combustible: Excelente
* la atención en todas las estaciones de servicio: hasta ahora, de 10 en todas
* hay estaciones en todos lados, siempre hay una Shell de camino

Gracias","5","30/08/2023 9:25:00",""
"Aprovecho los miércoles 10% app, y queda en mi ruta habitual. Cordialidad en la atención.","5","30/08/2023 7:34:00",""
"Por el trato y la paciencia del playero. Mi señora no pudo pagar con la app de su celular y rehizo la operación para pagar con la mía ","5","28/08/2023 21:05:00",""
"Ok ","5","28/08/2023 19:37:00",""
"Me atendieron eficientemente y de manera amable...","5","28/08/2023 18:57:00",""
"Porque hasta ahora nunca tuve inconvenientes.
Atienden muy bien.
Las instalaciones están bien.","5","28/08/2023 16:22:00",""
"Tuve que reclamar en Def del consumidor y la abogada que los representó a ustedes, no me ofreció ni un té de regalo , por todas las faltas de respeto y de servicio que he sufrido de parte de Federico gerente, Merly la cajera turno mañana y encima la abogada no ofreció ni las disculpas, hace 46 años voy a esta Shell una vergüenza el servicio y la falta de respeto a los clientes. Hasta el señor de la limpieza me faltó el respeto y no limpia nada!!! Revisen además el señor Federico me bloqueó la suma de puntos, hasta que por 3ra vez tuve que reclamar. Me bloquearon para sumar mis puntos casi todo el mes de agosto. Ayer recién me volvieron a sumar los puntos, voy a esta Shell casi todos los días . La señora Merly me dijo loca en la cara y patoteando a mi por reclamar que no me atendía , cuando yo voy y ella está en la caja , no me atiende espera que una compañera lo haga y sino está la compañera se pone de espaldas a acomodar los cigarrillos y yo quedo esperando que alguien venga atenderme, esto su jefe Federico lo sabe y no hizo nada ese es otro maleducado, cuando le reclamas algo , te dice si , ya lo resuelvo y se mete en su oficina y no sale ni resuelve nada  . ","2","27/08/2023 14:30:00",""
"La calidad en la atención de los playeros es muy buena. Cordial y atenta. Sigan asi. V power es a su vez el mejor combustible en la Argentina ","5","27/08/2023 14:35:00",""
"El empleado me ayudó con la aplicación ","5","27/08/2023 15:25:00",""
"EXCELENTE SERVICIO SOY HABITUE DE LA ESTACION","5","26/08/2023 7:52:00",""
"Atención. 
No se perdió tiempo.
Buen ambiente","5","26/08/2023 10:07:00",""
"utilizo lubricantes y combustibles desde hace 3 decadas con gran satisfacción","5","24/08/2023 18:54:00",""
"No andaba la aplicación para realizar el descuento de los días miércoles. Ya es la segunda vez qué pasa. O juegan con la necesidad de la gente o el sistema es obsoleto.","2","23/08/2023 23:50:00",""
"Podría mejorarse la experiencia ","4","24/08/2023 19:21:00",""
"Todo muy bien","5","24/08/2023 17:31:00",""
"Por la amabilidad del personal y por la ayuda en el pago","5","24/08/2023 14:18:00",""
"Nada en especial es que siempre tenemos forma de mejorar y considero que un satisfecho da esa posibilidad de seguir esforzándonos ","4","24/08/2023 14:24:00",""
"Siempre cargo Shell por calidad producto y amabilidad de los empleados ","5","24/08/2023 13:02:00",""
"No les andaba la app propia de shell para pagar, eso me parece un desastre ","3","23/08/2023 20:26:00",""
"Buen dia, fui a cargar v-power como siempre lo hago los dias miercoles para aprovechar el descuento para los registrados en el programa y casualmente al app no funcionaba, se habia caido el sistema en todas las estaciones shell. No pude utilizar ese medio de pago ni hacer uso del beneficio.","2","23/08/2023 21:10:00",""
"No tuve descuento por error en el programa y no pude pagar con el celular, debí abonar con tarjeta de crédito. Si se hace una promoción y no se cumple desprestigia la marca.
","2","23/08/2023 19:59:00",""
"Históricamente cargo en Shell. ","5","23/08/2023 17:02:00",""
"Siempre buena atención.
Cercana a mi domicilio.","5","23/08/2023 18:10:00",""
"Xq el servicio que dan es lo más
Siempre diligentes para ayudarme con el aire de las llantas
","5","23/08/2023 16:46:00",""
"estuve satisfecho en la carga de combustible, no asi en el precio del mismo, ","4","18/08/2023 20:14:00",""
"todo en orden","5","23/08/2023 12:43:00",""
"----","5","22/08/2023 13:54:00",""
"No hubo buena predispocisión a atender bien y rápido. No me ofrecieron revisar agua, aceite ni limpiar parabrisas. Entiendo que uds venden más aceite si me falta.","2","22/08/2023 12:23:00",""
"speed
Efficiency
cordiality","5","22/08/2023 8:26:00",""
"Muy buena onda la gente q trabaja en la estacion","5","20/08/2023 11:57:00",""
"atención muy amable, todo estaba en orden, no debimos casi esperar.","5","19/08/2023 16:26:00",""
"Muy buen servicio.","5","19/08/2023 17:10:00",""
"atencion, programa de fidelidad, calidad combustible","5","18/08/2023 20:13:00",""
"Estuve en la tienda y el personal excelente.destaco a Evelyn y A Lionel
Al reto empleados también ","5","16/08/2023 18:33:00",""
"vea la encuesta","4","15/08/2023 21:35:00",""
"Fui atendida rápidamente y el personal que me atendió fue muy amable","5","16/08/2023 17:35:00",""
"Los chicos que atienden en la tienda son excelentes! ","5","16/08/2023 11:21:00",""
"muy buena atencion del personal","5","16/08/2023 16:55:00",""
"RAPIDEZ Y ACESORAMIENTO ADECUADO","5","15/08/2023 15:35:00",""
"Importante conocer a los playeros, ser atendidos semanalmente con las mismas” caras” have sentirse cómodo. ","5","16/08/2023 10:29:00",""
"No estuve satisfecho porque el sistema de ustedes no me permitió cambiar puntos, es decir unos puntos por otros (o como se llamen). ","5","16/08/2023 10:10:00",""
"Nunca funciona la App para aprovechar descuentos ","1","16/08/2023 9:29:00",""
"1 solo personal para la atención por la cantidad de clientes...","4","15/08/2023 22:50:00",""
"bastante rapido y el chico eficiente y amable","5","15/08/2023 17:41:00",""
"Excelente atención ..el personal muy atento","5","12/08/2023 9:54:00",""
"Mu buen trato de los empleados y mejor rendimiento del combustible","5","15/08/2023 9:22:00",""
"Lo mejor que tiene esta estación comparada con el resto es el personal!! Son excelente!! Tanto en la playa como en el shop. Felicitaciones y cuidenlos; no hay tantos tan buenos.","5","15/08/2023 9:21:00",""
"Bastante carnosos con la encuesta frecuente ","4","12/08/2023 8:47:00",""
"Mejorar la limpieza en los baños ","5","12/08/2023 13:02:00",""
" soy       cliente de esta estación desde hace mucho y siempre la atención y la solución  de los problemas que tuviera fueron  atendidos inmejorablemente, seguiré concurriendo.","5","14/08/2023 9:29:00",""
" Voy siempre a esta estacion a dwsayunar y alm.muy buena atencion y limpieza.","5","14/08/2023 12:34:00",""
"Hace mas de 40 años que utilizo esta estación de servicio, siempre tuve una excelente atención","5","13/08/2023 19:42:00",""
"Siempre uso el servicio Shell, en otras estaciones se destaca la amabilidad de sus operadores, La comodidad de sus instalaciones y de sus shop,  En el playon  te ofrecen los servicios. El repaso del parabrisa no es necesario pedirlo. ","3","12/08/2023 10:34:00",""
"Hace varios meses la app dejó de funcionar. Me habla en portugués y no me deja loggearme. No reconoce mi usuario y no puedo usar la app. Hablé por teléfono. Me pidieron capturas de pantalla. PERO NO HUBO SOLUCIÓN. Una lástima ","1","11/08/2023 16:41:00",""
"rapido y sencillo","5","11/08/2023 12:14:00",""
"La atención del playero fue excelente.","5","11/08/2023 10:03:00",""
"Atención eficiente ","5","10/08/2023 13:42:00",""
"Muy  buena  atencion  del  playero, que  corria  atendiendo  a  3  clientes  al  mismo  tiempo","5","10/08/2023 14:13:00",""
"Siempre atienden muy bien","5","09/08/2023 9:11:00",""
"Muy atento el personal, es sencillo el pago por app, las instalaciones están aptas, buenas promociones en productos. Buena iluminación ","5","09/08/2023 19:29:00",""
"Atencion recibida personal ideoneo. Siempre voy allí por que atienden miy bien","5","08/08/2023 15:11:00",""
"No estuve satisfecho xq no me deja usar la aplicación ","5","09/08/2023 16:32:00",""
"Realizo el recorrido habitual y aprovecho los miércoles desde la App con descuento.","5","09/08/2023 7:34:00",""
"Calidad y servicio","5","09/08/2023 8:06:00",""
"El trato, la predisposición y la amabilidad. El alcance cercano de las estaciones. La facilidad con la que se puede gestionar cualquier servicio que ofrecen. ","5","08/08/2023 20:42:00",""
"La atención del señor que llena el combustible
La amabilidad del señor 
Me ofreció limpiar el parabrisas, ver aceite, agua. ","5","07/08/2023 20:43:00",""
"Siempre me atienden muy cordialmente, el tiempo de espera es lógico y es muy fácil pagar.","5","07/08/2023 12:43:00",""
"Buen servicio. Buen trato de la gente. Baños funcionando. ","5","06/08/2023 18:20:00",""
"Siempre soy bien atendida en Shell y considero que sus combustibles son de primera calidad","5","06/08/2023 19:32:00",""
"rapidez profecionalidad ","5","05/08/2023 12:15:00",""
"Todo muy rapido.
Muy buena atencion y trato.
Pago muy simple y rapido con app Shell Box.","5","06/08/2023 18:10:00",""
"Pasé anoche y no había Vpower, hoy fui y tuve que esperar bastante para cargar, había cola ","4","05/08/2023 17:17:00",""
"Excelente atención","5","05/08/2023 11:13:00",""
"Muy atento en personal de playa! Siempre muy cordiales y de buen humor! ","5","03/08/2023 19:36:00",""
"excelente atenci[on y servicios hace más de 30 anos que voy a la misma estación","5","03/08/2023 9:54:00",""
"No hay V-power en todos los surtidores y no esta claramente señalizado.
Tuve que retroceder y cambiar de surtidor para poder cargar v-power.","5","03/08/2023 8:10:00",""
"Siempre me atienden muy bien.
Todo el personal es muy amable.
Me gusta por lo ordenada, limpia, iluminada y e buen trato recibido
","5","02/08/2023 20:43:00",""
"Calidad de atención del personal
Ambiente agradable
Calidad del combustible","5","02/08/2023 7:45:00",""
"Rapidez en la atención y profesionalismo del empleado ","5","02/08/2023 19:53:00",""
"muy buena atención del playero
es una estación de servicio que me queda de paso cuando estoy por esa zona
siempre esta iluminada y limpia","5","01/08/2023 20:06:00",""
"El trato del
Personal y el
Estado de la
Estacion","5","01/08/2023 10:15:00",""
"Rapidez y eficiencia en el servicio","5","31/07/2023 13:31:00",""
"atención, rápida, cordial, eficiente, ofrecimiento de otros servicios, como limpieza de vidrios y revisación de agua y aceite","5","31/07/2023 12:09:00",""
"Por la atención, la limpieza, amabilidad ","5","31/07/2023 13:01:00",""
"No puedo usar la ap. Ya les pedí ayuda y no obtuve respuesta","4","31/07/2023 14:15:00",""
"Muy atentos los empleados a la hora del servicio.","5","30/07/2023 11:07:00",""
"Por atención del personal ","5","30/07/2023 11:59:00",""
"No me ofrecieron ningun servicio parecen muy apurados por querer atender a todos es probable que falte personal.","4","29/07/2023 9:45:00",""
"Atención servicio y producto","5","28/07/2023 16:22:00",""
"Excelente trato del personal. Fui a hacerle cambio de aceite, filtro de aire y aceite al auto y salió todo bien. Al finalizar el servicio, el personal me dijo todo lo que se revisó y me hizo ver algunas cosas para solucionar. ","5","28/07/2023 15:13:00",""
